Iteration,ParticleLocations,FunctionCost
20,"[[-0.43904740897387795, 0.14539497241310742], [-0.6577351865393972, -0.1068159255107895], [-0.32594291099372463, -0.022142674775455153], [-7.706979170532614, -1.6847706440118815], [0.16381827473578703, -2.208418252349813], [-0.26895582280066377, -3.7403671734010375], [-1.857895928763428, 0.7856459324483905], [0.8947452496935261, -1.6677484644100575], [-2.1956872124633824, -0.4695091564447955], [0.7093765049378731, -0.0658454372352577], [0.5303098595940898, -0.8033716229520533], [0.41001648814655134, -17.640283328878162], [-1.0121667306403215, -1.0024111084430642], [0.33929447605924046, -2.0748945549382927], [-2.7591013797859008, 0.12912867813081963]]",1.3588690514241595
21,"[[0.05882782074267995, -0.1405236344745229], [0.36139058926133205, -0.053351557906628544], [0.015077790186004747, -0.14197610378933373], [-9.207470571778122, 0.0014203116766102752], [-0.8856512661741558, -4.609955857984048], [-0.24295206377472112, -4.373746224047126], [-3.3940776555470586, -0.2538702958978486], [0.8146843983480817, -0.33062440773423196], [-2.1778093103567544, -0.9936750010710076], [0.760229097595325, -0.041561122052415994], [0.18993773225359267, -1.255715061814348], [-1.4856740733771523, -13.350424632279454], [0.6385033266160021, -1.6227455386031409], [-0.1342570931593441, 0.1128266467690282], [-2.5051040468936216, 2.9415195569155017]]",1.3588690514241595
22,"[[0.3702927083553722, -0.22648464219042566], [0.6183204025924338, -0.02123433361770593], [0.24886897976580674, -0.1599800165846501], [-8.790170837411756, 1.1539580924199606], [0.011785868749415118, -4.14596514674738], [-0.2081872156513087, 2.9856079912186386], [-1.9307168035467206, -0.7377055725313394], [0.30786409419783856, 1.0303289944329526], [-1.5654208708527322, -1.3444348500558538], [0.5866567401279211, -0.05238488152177863], [-0.47296334679786445, -1.3776723087716047], [-2.0217727639054504, 15.236138046946381], [1.1854425786973923, -1.3351225317359319], [-0.26091595240051957, 1.2695117317952052], [0.7994649848815061, 0.975219975054084]]",1.3588690514241595
23,"[[0.3786046544174194, -0.15930471284937026], [0.19190922159438895, -0.07846098859394504], [0.40209008035086663, -0.1513496041025126], [-2.448941721277672, 0.34604711246902575], [0.596898286909153, 2.5645501609092394], [-0.1442479462664507, 5.357676162469554], [2.697308926241606, -0.09992985811588662], [-0.36661896660538196, -0.22377095368991395], [-0.4966307525616347, 0.4661354716904309], [-0.11995172584176572, -0.07012853593404238], [-0.7779160857846827, 0.6372873244521546], [-0.9734285632741304, 15.789331540637844], [-0.36169241987458767, -0.27356570205580666], [-0.05966907362340548, 0.7385808874768122], [2.2676994452659063, -1.9287664429236975]]",1.3588690514241595
24,"[[0.1439375589670899, -0.05619517026020904], [-0.13756338813731617, -0.11764301525381796], [-0.03997068698872824, -0.05129878511921747], [6.188188782040452, -0.988609295914861], [0.6656826755715117, 5.535256445080506], [-0.044170937075053915, 3.2326274056858537], [4.078354299878522, 0.35903618702248535], [-0.4713061507681104, -0.8167476018250319], [0.34811039953715306, 1.366282409896338], [-0.5827915065353221, -0.083851951283814], [-0.7815615442749997, 0.7077016626135806], [1.1419135395934463, 3.967077421536665], [-1.1800629112324281, 0.4796344213410527], [0.119393565358582, -0.7354413457336156], [-0.9242888375761771, -2.929384482345281]]",1.3588690514241595
25,"[[-0.37924407662883974, 0.023823739721496942], [-0.1739224800845971, -0.12036684504266645], [-0.34941322412644465, 0.018736788169089122], [0.028832437670691213, -1.3171644574258439], [0.36860162572543653, 4.377723927425466], [0.030405421054039344, -3.2892230139273], [-2.7323020391621995, 0.22523803687502164], [-0.061236870016138256, 0.14535636354937886], [0.4010704923850068, 0.2550501102731624], [-0.44877178941459084, -0.09250967780114171], [0.5812802605645997, 0.12488737048936482], [1.7954409306730286, -11.13301789227243], [-1.1566143113882799, 0.4391611661358489], [0.13662226711242184, -0.8947379880849349], [-2.071414212129489, 2.0254987527063566]]",0.8329083228053165
26,"[[-0.3366886785173634, 0.01805626944079603], [0.0075861832302405174, -0.07218640716345873], [-0.17676826018734787, -0.005338783535327393], [-4.40210483486798, -1.3687353965023061], [-0.10197129999121957, -0.859802363420691], [0.046909961932671974, -6.98962465399058], [-7.350649941694931, 0.06935443916241979], [0.256418427728557, 0.6911273865183176], [0.31790112439841167, -1.1261679581116983], [0.3159600143175667, -0.08074352668503255], [0.7654490581129719, -0.40952028710391286], [1.2010612972742416, -1.031853209932999], [-1.1215150286612712, -0.097020090090012], [0.07809790710409917, 0.6219918315873543], [-0.8140161702156867, 2.0972278158121496]]",0.8329083228053165
27,"[[0.24796775194137244, -0.04247834408087193], [0.12071914644306532, -0.02152639219852477], [0.14112465797376428, -0.031137512557835857], [-5.684125883158604, -0.01781032988480913], [-0.31067194234938683, -3.87890470868177], [-0.09012130433184112, -5.686103444319332], [-1.9631492955228085, -0.06735213505174611], [0.2097475613517564, -0.04331014888825835], [0.2565713240542857, -1.0008536976414095], [0.6006217273277294, -0.028876947275554565], [-0.1362151094471501, -0.5892429719947451], [-0.8900412002985385, 7.090362667215517], [0.46425202537448484, -0.420409718308891], [-0.018462180590336164, 0.8340931401406737], [1.2235586324549799, -1.399150482611398]]",0.8329083228053165
28,"[[0.30217168675598094, -0.09986830227476379], [0.16169323191866952, 0.009616747118838302], [0.12648252021324102, -0.07076070759125008], [-2.656935246189725, 0.8967493943975797], [0.06550800289997344, 0.7255105578998537], [-0.16051249303229587, 0.7518306140296076], [1.9873063464803624, -0.15936936606538854], [0.03460993068037577, -0.5657916654045905], [-0.14833330767010744, 0.6082061156774183], [0.6624297722514849, -0.01447119763161954], [-0.6343121499933159, -0.05181085875290814], [-0.9937941467059586, 4.369836473176769], [1.0996894619238797, -0.013366183894496342], [-0.12588940990195394, 0.5652399574012192], [2.526752352772524, -3.758787280955835]]",0.8329083228053165
29,"[[-0.2609675767263633, -0.09333709401164206], [-0.1431050486744882, -0.005274367525149783], [0.06546260868828162, -0.0828551015721006], [4.085177030361402, -0.17040069359444154], [0.2827513042458424, 3.570696196960645], [-0.04853027701949589, 5.232646563320092], [1.431137352982832, -0.20720973554950506], [-0.13054882422325897, -0.03492985012449612], [-0.2874328278347991, 1.054407527429754], [0.14783421555084475, -0.0664893263537511], [-0.4759973025075354, 0.3244550336036642], [0.5762433884918956, 1.671347171888403], [1.129907193922502, 0.232498196959535], [-0.09214881150470314, 0.25661743721568364], [2.4261472512440694, -4.006397665684072]]",0.8329083228053165
30,"[[-0.4718280707849206, -0.07349508934068276], [-0.24160400631094592, -0.06665633860934607], [-0.18251125864888507, -0.03211295024531866], [3.241282590788284, -0.8583737512721241], [0.3874372673421145, 4.237401991914963], [0.03734430087838379, 5.853240935599143], [0.12642596325989697, 0.00983932611567151], [-0.1516513618110626, 0.32846642169873935], [-0.04503670658306849, 0.45485133178180503], [-0.41664973502446856, -0.08008561718304277], [0.31436279269210315, 0.37163712923034653], [0.5985572575903599, -0.2705415809675562], [0.3749830551681551, -0.1520653586862309], [-0.013348770188560899, -0.38561800957428893], [-0.3369614629851827, -1.6182520971646541]]",0.8329083228053165
31,"[[-0.20289517430420612, -0.03435938115707351], [-0.25757243841158817, -0.10577312078553863], [-0.34013943033100535, -0.034728060562903], [2.1842685798874077, -0.16458610860372702], [0.24640169975658552, 1.6093634373681427], [0.09641338873622962, -0.7950206766249055], [-0.9371470074999124, 0.05979779701499616], [-0.1609453195581304, 0.17498230925407982], [0.1253976271313263, -0.14411278554332285], [-0.697122286615122, -0.06702035354937787], [0.2061563781799171, 0.09716866329194151], [0.5393115411322832, -1.2515396779561314], [-0.8472614044720678, -0.37673369084283004], [0.02770764114688261, -0.3630538204737891], [-2.001340290679618, 0.7975930893047147]]",0.8329083228053165
32,"[[0.24757536723986068, -0.037042749204072606], [-0.2659523873892177, -0.04990197556307985], [0.05858342484349732, -0.05351708795291123], [-2.257545422301825, 0.4020866418518051], [0.03721674117984658, -3.098330783633444], [-0.016430103104420057, -5.146368730229583], [-0.20616897558968472, -0.028841679891107377], [-0.018326927288965095, -0.14561648730427623], [0.0046039158232659555, -0.4039597226700796], [-0.7396856127285794, -0.038477291753860145], [-0.31807767919919866, -0.38496681675868444], [0.45670061644134285, 0.14122152669477317], [-1.4039416765218249, -0.12237065452588952], [0.030008109486512977, -0.1774164805501196], [-1.7868099103659796, 1.2084921641842223]]",0.8329083228053165
33,"[[0.0039062943961497565, -0.051037282522478536], [0.05344943485775344, -0.012829511002239509], [0.26570987902621845, -0.06628813096184173], [-4.433529894315512, 0.74981960795246], [-0.22016383112119403, -6.230125815643605], [-0.09563080144887154, -5.0627124606638105], [0.3989927803706861, -0.1278368902839193], [0.07141170490521255, -0.20754821170751692], [-0.09088429850278001, -0.12468545593088809], [-0.007183922379429886, -0.0403483377395462], [-0.1795633450478198, -0.3623724635218661], [-0.24255401616615047, 1.0573621216412163], [0.7023220812248603, 0.19065449220613967], [-0.10080297421311249, 0.10720698626721764], [1.0405034238142437, -0.7254173034916982]]",0.8329083228053165
34,"[[-0.18609968914786723, -0.04071471181924903], [0.17049606296372657, -0.02109392026917206], [0.10387301293576379, -0.05443293929824569], [-5.70902937415811, -0.15304145040419004], [-0.23757343471488374, -8.26992103296331], [-0.05270932978985718, 2.7461755533458527], [0.14072486791415983, -0.044055208550144054], [0.058652763754759335, -0.10405625271449187], [-0.1010190845151945, 0.10119660706426836], [0.5055672608649747, -0.041658069929526434], [0.1249409169438157, 0.18918273381531098], [-0.28748517315382466, 1.5671150362006632], [1.2777241217891422, -0.036825250927824515], [-0.15945878928794693, 0.08103809125824879], [2.592495937766348, -1.3584425871910164]]",0.3314996103175627
35,"[[-0.3077763643420447, -0.03340868455956422], [0.06440948420631762, -0.03765825639752476], [-0.14604633103174725, -0.03621723025267259], [4.710804983371887, -0.6210246807316626], [-0.024364419006877164, 3.9438125162908655], [-0.017710733108415644, 5.581959271307914], [-0.20713042870119247, 0.016405155526669053], [-0.04785140421222776, 0.0923074856949038], [0.034687907610428434, 0.2525015286514062], [0.38348763145042974, -0.04140607686192097], [0.2326102746042409, 0.2764013551041011], [-0.10676137585313977, -0.2559797646719031], [-0.5462289208499327, -0.20276436839382306], [-0.12226291365737263, -0.03403914729593252], [2.21114371542563, 0.3812568640980345]]",0.3314996103175627
36,"[[-0.048452389213864855, -0.0349379344929011], [-0.11871866987461235, -0.04934056626599015], [-0.22204639215943395, -0.0270148644747312], [10.360084879591469, 0.13253653771208818], [0.13199827681792153, 5.328389934994131], [0.02267038631165451, -0.20304446970285106], [-0.3457129339252112, -0.04997353644477639], [-0.046096966869414155, 0.0535095766509886], [0.09901089653289145, 0.10714506357970865], [-0.07010399713168058, -0.04067895539382173], [-0.11583521569968955, -0.13254263521893733], [0.05587859056902558, -1.1864139082079446], [-1.624774984066051, -0.13571767858367373], [0.0534026309757398, -0.12319706794259738], [-0.0906504615358088, 0.9510074736901935]]",0.3314996103175627
37,"[[0.1503693561283443, -0.04042610359604431], [-0.07537589895142843, -0.05475785123628142], [-0.22980183883563873, -0.029069000746420638], [-2.24286760270874, 0.34626738785144895], [-0.011186568595187352, 1.847266502161605], [0.04055496630656903, -4.0207004036993315], [0.14300692484826621, -0.08415256039082106], [-0.0025884188849411016, -0.06350912871353316], [0.020066509298342167, -0.24943332670055962], [-0.30482507537925474, -0.03966731255824327], [-0.18151906413970934, -0.39123742095376124], [0.04623685900183881, -0.7826185747389749], [-0.4118125740060592, 0.09250694774325435], [0.11158388613997121, -0.056216576548249325], [-1.6396480645729985, 0.7383311585030082]]",0.3314996103175627
